route_id,vehicle_string,garage_code,pvr
428,Trident/Enviro400,DT,9
43,DD/Enviro400EV City,HT,26
430,B5LH/Gemini 3,AF,11
432,B5LH/Gemini 2,N,10
433,e.City Gold 10.7m,BC,9
434,E20D/Enviro200,C,4
436,B5LH/Eclipse Gemini,NX,13
439,D8UR/Enviro200 MMC EV,C,3
44,Streetdeck/Gemini 3,SW,18
440,E20D/Enviro200 MMC,V,11
444,D9UR/Enviro200 MMC EV,NP,12
45,E40H/Enviro400H,WL,17
450,D8UR/Enviro200 MMC EV,C,15
452,B5LH/EvoSeti,X,15
453,New Bus for London,NX,26
456,Streetlite WF 8.8m,NP,5
46,D8UR/Enviro200MMC EV,HT,17
460,B5LH/Gemini 3,AC,10
462,E20D/Enviro200 MMC,BK,8
463,Streetlite WF 8.8m,C,10
464,E20D/Enviro200 MMC,BC,3
465,E20D/Enviro200 MMC,TF,7
466,BYD B11E02 10.9m,TC,15
467,Trident/Enviro400,TV,2
468,B5LH/Gemini 3,N,24
469,E20D/Enviro200 MMC,MG,10
47,B5LH/Enviro400H MMC,TL,17
470,E20D/Enviro200,GM,4
473,BYD B11E02 10.9m,DS,9
474,Trident/Enviro400,DS,14
476,B9TL/Gemini 2,NP,15
481,B5LH/Gemini 3,AH,9
482,E40H/Enviro400H MMC,GW,8
483,B9TL/Gemini 2,PV,20
484,D8UR/Enviro200 MMC EV,Q,10
485,Kite Electroliner 10.3m,QB,4
486,B9TL/Gemini 2,BX,13
487,BZL (sd)/MCV,WJ,12
488,E20D/Enviro200,HO,9
49,DD/Enviro400EV City,S,15
490,E20D/Enviro200,TF,18
491,E20D/Enviro200,PB,10
492,E40D/Enviro400,DT,7
493,,BC,16
496,Trident/Enviro400,RM,8
498,E40D/Enviro400 MMC,NS,6
499,E20D/Enviro200 MMC,RM,7
5,New Bus for London,DS,30
50,Streetdeck Electroliner 10.5m,BN,15
51,Trident/Enviro400,MG,18
52,B5LH/Eclipse Gemini,AC,17
53,E40H/Enviro400H MMC,PD,27
533,E20D/Enviro200 MMC,SW,5
54,E40D/Enviro400 MMC,TL,16
55,New Bus for London,T,29
56,E40H/Enviro400H,T,18
57,DD/Enviro400EV City,AL,19
58,BZL (dd)/MCV,HO,15
59,New Bus for London,BN,20
6,B5LH/Gemini 3,AC,18
60,BYD B11E02 10.9m,TC,20
601,E40H/Enviro400H MMC,MG,7
602,E40D/Enviro400,PD,2
603,,HT,2
606,Streetdeck Electroliner 10.5m,EW,2
608,E40H/Enviro400H,RR,3
61,Trident/Enviro400,TB,9
612,Streetdeck Electroliner 10.5m,TH,2
613,B5LH/Gemini 3,TV,1
616,?,WN,2
617,?,PB,2
618,E40H/Enviro400H,GW,1
62,E40D/Enviro400 MMC,BK,14
621,E40D/Enviro400H MMC,TL,1
624,B9TL/Gemini 2,MG,1
625,B9TL/Gemini 2,MG,2
626,B5LH/Gemini 3,PB,4
627,?,N,3
628,?,UB,1
629,?,PB,2
63,DD/Enviro400EV City,WL,26
631,Solo SR 7.9m,W,1
632,E40H/Enviro400H,W,3
633,B5LH/Gemini 3,C,2
634,B5LH/Gemini 3,PB,1
635,B5LH/Gemini 3,AH,3
638,Trident/Enviro400,TB,5
639,E40H/Enviro400H,QB,1
64,Streetdeck Electroliner 10.5m,TH,17
640,B5LH/Gemini 3,G,2
642,DD/Enviro400EV City,EW,3
643,?,UB,2
645,DB300/Gemini 2,TC,1
646,E200Dart/Enviro200,RR,2
649,?,WH,3
65,DD/Enviro400EV City,FW,27
650,?,WH,5
651,?,WH,1
652,E40H/Enviro400H,RR,2
653,?,UB,3
655,E40D/Enviro400,BC,1
656,E40H/Enviro400H,RR,2
657,?,T,1
658,B9TL/Gemini 2,MG,3
66,Trident/Enviro400,GY,13
660,B5LH/Gemini 3,TL,1
661,Trident/Enviro400,TL,1
662,B5LH/Gemini 3,TV,1
663,?,TH,1
664,E40D/Enviro400,MB,2
665,E20D/Enviro200 MMC,TV,1
667,E40D/Enviro400 MMC,WH,1
669,E40H/Enviro400H MMC,PD,2
67,New Bus for London,SF,10
670,E40H/Enviro400H,QB,1
671,E40H/Enviro400H,TF,1
672,?,PD,4
674,DD/Enviro400EV City,RM,1
675,BYD B11E02 10.9m,AD,1
677,B5LH/Gemini 2,NP,1
678,B5LH/EvoSeti,HO,4
679,E40H/Enviro400H,RR,4
68,New Bus for London,WL,21
681,B5LH/Gemini 3,FW,3
683,?,UB,4
684,E40D/Enviro400,TB,2
685,BYD B11E02 10.9m,TC,1
686,E40H/Enviro400H,RR,2
687,?,WH,1
688,?,UB,5
689,Streetdeck Electroliner 10.5m,TH,1
69,DD/Enviro400EV City,DS,15
690,B5LH/Gemini3,SW,2
695,B5LH/SRM,AV,3
696,E40D/Enviro400,AV,2
697,?,UX,3
698,B5LH/SRM,AV,2
699,K8SR 10.2m,UB,4
7,Streetdeck FCEV,PV,12
70,D8UR/Enviro200MMC EV,S,19
71,B5LH/Gemini 3,FW,13
72,E20D/Enviro200 MMC,S,13
73,New Bus for London,CT,24
74,B5LH/Gemini 3,AF,18
75,E40D/Enviro400 MMC,TL,15
76,New Bus for London,SF,21
