route_id,lbr_vehicle_string,bustimes_types,bustimes_observed_regs,our_make,our_vehicle_type,our_propulsion,our_deck,tfl_observed_reg_count
316,BZL (sd)/MCV,Volvo BZL,37,VOLVO,BZL (sd)/MCV,electric,single,37
317,Streetdeck Electroliner 10.5m,Volvo B9TL Wright Eclipse Gemini 2 | Volvo B5LH Wright Eclipse Gemini 3 | Wright StreetDeck Electroliner,16,WRIGHTBUS,Streetdeck Electroliner 10.5m,electric,double,16
318,E20D/Enviro200,ADL Enviro200,10,ALEXANDER DENNIS,E20D/Enviro200,diesel,single,10
319,DD/Enviro400EV City,BYD D8UR-DD ADL Enviro400EV | Wright StreetDeck Electroliner,22,BYD,DD/Enviro400EV City,electric,double,22
32,New Bus for London,Volvo B9TL Wright Eclipse Gemini 2 | ADL Enviro400H MMC,5,VOLVO,New Bus for London,hybrid,double,5
320,BYD B11E02 10.9m,BYD D8UR-DD ADL Enviro400EV,1,BYD,BYD B11E02 10.9m,electric,single,17
321,BYD B11E02 10.9m,,0,BYD,BYD B11E02 10.9m,electric,single,23
322,E100EV/Enviro100EV 8.5m,,0,ALEXANDER DENNIS,E100EV/Enviro100EV 8.5m,electric,single,13
323,E200Dart/Enviro200,ADL Enviro200,4,ALEXANDER DENNIS,E200Dart/Enviro200,diesel,single,4
324,E200Dart/Enviro200,ADL Enviro200 | ADL Enviro200 MMC,19,ALEXANDER DENNIS,E200Dart/Enviro200,diesel,single,19
325,D8UR/Enviro200MMC EV,,0,BYD,D8UR/Enviro200MMC EV,electric,single,16
326,E200Dart/Enviro200,ADL Enviro200 MMC,34,ALEXANDER DENNIS,E200Dart/Enviro200,diesel,single,34
327,E20D/Enviro200,ADL Enviro200,3,ALEXANDER DENNIS,E20D/Enviro200,diesel,single,3
328,B5LH/Gemini 2,Volvo B5LH Wright Eclipse Gemini 3 | ADL Enviro400H MMC,29,VOLVO,B5LH/Gemini 2,hybrid,double,29
